date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2014-02-28,12.9,14.11,12.7,12.4,7182806.0,-0.28,-2.16,13.908,13.721,14.15,8121480.5,8110525.55,6364389.33
2014-01-30,14.09,14.11,12.98,12.37,6354513.5,-1.16,-8.2,14.074,13.941,14.229,8842952.9,7873891.95,6128798.29
2013-12-31,15.2,16.16,14.14,13.0,7269611.0,-1.24,-8.06,14.09,14.123,14.366,9567933.0,7856424.05,6028945.34
2013-11-29,14.34,15.75,15.38,14.15,10506422.0,1.04,7.25,13.71,14.393,14.428,9257148.9,7661465.55,5829105.05
2013-10-31,13.4,14.88,14.34,13.22,9294050.0,0.81,5.99,13.276,14.543,14.401,8138622.4,7241498.15,5619974.95
2013-09-30,13.07,14.67,13.53,12.97,10790168.0,0.47,3.6,13.534,14.873,14.472,8099570.6,6910380.35,5388767.65
2013-08-30,12.35,14.85,13.06,12.24,9979414.0,0.82,6.7,13.808,14.927,14.55,6904831.0,6170505.98,5021993.81
2013-07-31,13.2,13.65,12.24,11.83,5715690.5,-0.97,-7.34,14.156,14.917,14.604,6144915.1,5412435.18,4752337.34
2013-06-28,15.63,15.75,13.21,12.15,4913789.5,-2.42,-15.48,15.076,15.047,14.669,6065782.2,5202348.03,4700695.66
2013-05-31,14.81,16.41,15.63,14.6,9098791.0,0.73,4.9,15.81,14.861,14.825,6344373.9,5026444.85,4579437.2
2013-04-26,14.76,16.08,14.9,14.38,4816470.0,0.1,0.68,16.212,14.578,14.843,5721190.1,4618253.1,4310612.04
2013-03-29,16.81,16.95,14.8,14.17,6179834.5,-2.04,-12.11,16.046,14.517,14.87,5436180.95,4383704.63,4222702.29
2013-02-28,16.71,19.0,16.84,16.2,5320026.0,-0.04,-0.24,15.678,14.609,14.98,4679955.25,4201466.63,4101501.75
2013-01-31,17.75,17.94,16.88,16.0,6306748.0,-0.76,-4.31,15.018,14.463,15.075,4338913.85,3996744.55,4072819.83
2012-12-31,13.96,17.77,17.64,13.88,5982872.0,3.57,25.37,13.912,14.258,15.058,3708515.8,3998451.75,3866080.79
2012-11-30,12.99,14.1,14.07,12.8,3391424.25,1.11,8.56,12.944,14.071,15.087,3515316.1,3867154.95,3863954.19
2012-10-31,13.48,13.98,12.96,12.53,2398706.0,-0.58,-4.28,12.988,14.173,15.306,3331228.3,3873481.65,3776619.03
2012-09-28,11.39,13.6,13.54,11.37,3614819.0,2.19,19.3,13.54,14.291,15.527,3722978.0,4092239.5,3957103.05
2012-08-31,12.84,13.05,11.35,11.17,3154757.75,-1.45,-11.33,13.908,14.29,15.584,3654575.25,4199043.3,4096176.43
2012-07-31,14.31,14.31,12.8,11.97,5016873.5,-1.49,-10.43,14.604,14.789,15.873,4288387.7,4132429.55,4339706.99
2012-06-29,15.72,15.82,14.29,14.0,2470985.25,-1.43,-9.1,15.198,15.107,16.234,4218993.8,4002970.98,4470378.96
2012-05-31,15.56,16.29,15.72,14.58,4357454.5,0.34,2.21,15.358,15.223,16.362,4415735.0,4061699.95,4531390.51
2012-04-27,14.8,15.68,15.38,14.48,3272805.25,0.55,3.71,15.042,15.35,16.396,4461501.0,4001536.88,4535738.69
2012-03-30,15.69,16.53,14.83,13.95,6323820.0,-0.94,-5.96,14.672,15.686,16.394,4743511.35,4148895.1,4590195.9
2012-02-29,15.1,16.68,15.77,14.75,4669904.0,0.68,4.51,14.974,15.858,16.266,3976471.4,3733709.83,4358047.41
2012-01-31,14.28,15.8,15.09,13.88,3454691.25,0.95,6.72,15.016,16.103,16.308,3786948.15,3860753.43,4225352.17
2011-12-30,13.85,14.24,14.14,12.49,4586284.5,0.61,4.51,15.088,16.439,16.496,3707664.9,3679756.4,4216428.94
2011-11-30,16.25,17.1,13.53,13.3,4682857.0,-2.81,-17.2,15.658,16.763,16.813,3541572.75,3821966.6,4115019.04
2011-10-31,16.03,16.72,16.34,14.5,2488620.25,0.36,2.25,16.7,16.878,17.236,3554278.85,3993309.55,3986771.69
2011-09-30,15.5,16.58,15.98,14.4,3722287.75,0.53,3.43,16.742,16.956,17.426,3490948.25,4546984.43,4202243.76
2011-08-31,16.62,17.32,15.45,15.05,3058275.0,-1.54,-9.06,17.19,17.36,17.933,3934558.7,4937786.95,4240901.44
2011-07-28,18.72,19.63,16.99,16.59,3755823.75,-1.75,-9.34,17.79,17.5,18.429,3651847.9,5001081.08,4283043.82
2011-06-30,16.53,19.34,18.74,16.04,4746387.5,2.19,13.23,17.868,17.442,18.741,4102360.45,5069940.5,4236229.52
2011-05-31,18.25,18.27,16.55,15.91,2171967.25,-1.67,-9.17,17.056,17.101,18.791,4432340.25,5031496.7,4233232.44
2011-04-29,18.8,20.25,18.22,17.58,5940340.0,-0.23,-1.25,17.17,16.673,18.787,5603020.6,4982384.99,4360041.98
2011-02-11,17.38,18.68,18.45,16.63,1644721.0,1.07,6.16,17.53,16.513,18.845,5941015.2,4589950.91,4348629.13
2011-01-31,14.72,17.55,17.38,14.45,6008386.5,2.7,18.39,17.21,16.553,18.67,6350314.25,4753101.49,4506492.98
2010-12-31,16.9,17.44,14.68,14.24,6396286.5,-2.44,-14.25,17.016,16.862,18.531,6037520.55,4408071.49,4451632.01
2010-11-30,20.06,21.0,17.12,16.47,8025369.0,-2.9,-14.49,17.146,17.594,18.41,5630653.15,3980233.84,4403185.13
2010-10-29,17.36,22.45,20.02,16.57,7630313.0,3.17,18.81,16.176,17.895,18.046,4361749.37,3857503.09,4269395.83
2010-09-30,16.32,18.52,16.85,15.92,3691216.25,0.44,2.68,15.496,18.506,17.418,3238886.62,3544015.94,4239264.48
2010-08-31,15.3,16.75,16.41,14.58,4444418.0,1.08,7.04,15.896,19.358,16.889,3155888.72,3565006.56,4223794.07
2010-07-30,12.46,15.38,15.33,12.0,4361949.5,3.06,24.94,16.708,20.039,16.337,2778622.42,3402518.54,4198028.57
2010-06-30,16.57,16.87,12.27,11.82,1680850.12,-4.35,-26.17,18.042,20.481,15.859,2329814.52,3434968.19,4177653.59
2010-05-31,18.54,18.8,16.62,15.84,2015999.25,-2.23,-11.83,19.614,20.9,15.492,3353256.8,3737698.98,4167310.79
2010-04-30,20.35,21.54,18.85,18.07,3276226.75,-1.62,-7.91,21.516,21.177,15.002,3849145.25,4107307.35,4174382.78
2010-03-31,22.05,22.51,20.47,19.51,2558086.5,-1.53,-6.96,22.82,20.787,14.382,3974124.4,4259884.48,4084315.94
2010-02-26,19.98,22.22,22.0,19.0,2117910.0,1.87,9.29,23.37,20.2,13.762,4026414.65,4495192.53,4146321.26
2010-01-29,26.41,27.11,20.13,20.08,6798061.5,-6.0,-22.96,22.92,19.226,13.054,4540121.85,4826136.43,4183521.21
2009-12-31,25.48,27.23,26.13,26.13,4495441.5,0.76,3.0,22.186,18.197,12.665,4122141.15,4681288.58,4031242.44
2009-11-30,22.9,26.56,25.37,22.75,3901122.5,2.15,9.26,20.838,16.329,12.145,4365469.45,4934513.03,4027822.56
2009-10-30,19.8,23.35,23.22,19.59,2819537.75,3.47,17.57,18.754,14.42,11.563,4545644.55,4882581.58,4044048.49
2009-09-30,16.51,21.88,19.75,16.11,4686446.0,3.29,19.99,17.03,12.634,11.345,4963970.4,4993538.6,4030935.7
2009-08-31,19.41,19.48,16.46,14.31,4708158.0,-2.93,-15.11,15.532,11.236,11.388,5112151.0,4920339.0,4083575.8
2009-07-31,15.0,20.05,19.39,14.51,5712083.0,4.44,29.7,14.208,10.084,11.88,5240436.0,4596922.6,3994553.6
2009-06-30,14.64,15.82,14.95,13.49,4801998.0,0.35,2.4,11.82,8.826,12.109,5503556.6,4241458.2,3885499.25
